txn_id,account_id,amount,txn_type,txn_date,status
TXN-0000026,ACC-00060,41566.06,debit,2024-09-27T13:19:00Z,pending
TXN-0000027,ACC-00176,22767.18,debit,2025-02-08T18:17:04Z,pending
TXN-0000028,ACC-00179,23808.65,credit,2025-07-14T18:56:33Z,failed
TXN-0000029,ACC-00232,15946.15,credit,2024-02-04T16:57:08Z,failed
TXN-0000030,ACC-00059,1130.23,credit,2025-05-18T07:02:05Z,completed
TXN-0000031,ACC-00347,40002.71,debit,2025-02-04T18:49:24Z,completed
TXN-0000032,ACC-00283,8007.63,credit,2024-12-24T21:18:49Z,completed
TXN-0000033,ACC-00409,20252.97,debit,2024-05-24T18:30:14Z,failed
TXN-0000034,ACC-00337,21607.29,debit,2025-07-26T17:54:55Z,failed
TXN-0000035,ACC-00453,9867.02,credit,2024-10-29T00:25:27Z,completed
TXN-0000036,ACC-00361,10740.59,credit,2025-08-07T08:21:49Z,failed
TXN-0000037,ACC-00415,39800.61,debit,2025-09-12T23:48:14Z,failed
TXN-0000038,ACC-00096,18290.29,debit,2024-12-21T09:21:29Z,completed
TXN-0000039,ACC-00135,33535.4,credit,2025-02-13T21:19:15Z,failed
TXN-0000040,ACC-00161,29848.94,credit,2025-03-31T22:33:39Z,completed
TXN-0000041,ACC-00179,17599.89,credit,2025-04-24T12:28:28Z,completed
TXN-0000042,ACC-00417,33679.77,credit,2025-12-14T13:29:04Z,failed
TXN-0000043,ACC-00303,4238.51,debit,2024-08-31T06:12:19Z,completed
TXN-0000044,ACC-00123,15269.69,debit,2024-10-16T22:55:46Z,failed
TXN-0000045,ACC-00073,25541.73,credit,2025-04-08T06:10:59Z,completed
TXN-0000046,ACC-00295,19186.11,debit,2025-01-13T00:11:25Z,failed
TXN-0000047,ACC-00276,34671.95,debit,2025-03-07T00:19:12Z,completed
TXN-0000048,ACC-00251,14442.45,debit,2024-09-01T08:11:47Z,pending
TXN-0000049,ACC-00318,2681.51,credit,2024-01-08T10:38:53Z,pending
TXN-0000050,ACC-00070,9757.23,credit,2025-03-12T04:38:55Z,failed
TXN-0000051,ACC-00335,24749.0,credit,2024-11-18T19:54:46Z,failed
TXN-0000052,ACC-00431,22193.14,debit,2024-03-05T05:05:31Z,failed
TXN-0000053,ACC-00016,39794.25,debit,2024-08-14T20:57:02Z,completed
TXN-0000054,ACC-00141,11242.95,credit,2024-05-10T15:38:33Z,pending
TXN-0000055,ACC-00290,37126.17,credit,2025-03-02T23:38:19Z,failed
TXN-0000056,ACC-00058,28636.13,credit,2025-08-25T01:09:14Z,failed
TXN-0000057,ACC-00422,49544.69,debit,2025-08-13T07:30:13Z,failed
TXN-0000058,ACC-00226,27318.12,credit,2024-03-20T13:10:50Z,failed
TXN-0000059,ACC-00425,32683.93,debit,2024-08-19T05:41:48Z,completed
TXN-0000060,ACC-00231,13141.5,debit,2024-12-07T00:51:22Z,completed
TXN-0000061,ACC-00398,40594.63,debit,2025-09-21T16:35:38Z,failed
TXN-0000062,ACC-00302,34456.99,credit,2024-05-08T22:07:17Z,failed
TXN-0000063,ACC-00072,39242.68,debit,2025-09-17T14:29:56Z,completed
TXN-0000064,ACC-00292,17541.42,credit,2025-04-08T14:14:01Z,failed
TXN-0000065,ACC-00087,16183.36,credit,2024-08-12T17:33:45Z,failed
TXN-0000066,ACC-00137,47619.91,debit,2024-04-15T07:33:37Z,pending
TXN-0000067,ACC-00471,2965.24,credit,2025-11-04T10:56:18Z,failed
TXN-0000068,ACC-00065,35071.62,debit,2024-07-12T22:19:16Z,completed
TXN-0000069,ACC-00365,16105.51,debit,2025-08-14T10:53:47Z,failed
TXN-0000070,ACC-00202,24473.45,credit,2025-05-02T15:16:45Z,pending
TXN-0000071,ACC-00193,22600.13,debit,2024-11-08T21:40:57Z,failed
TXN-0000072,ACC-00384,13912.01,credit,2024-12-19T04:08:28Z,pending
TXN-0000073,ACC-00168,29098.2,debit,2025-07-21T17:33:31Z,pending
TXN-0000074,ACC-00326,33207.53,credit,2025-10-22T07:07:44Z,completed
TXN-0000075,ACC-00408,26721.69,debit,2024-11-29T17:07:40Z,completed
TXN-0000076,ACC-00254,13427.57,credit,2024-09-19T08:12:44Z,failed
TXN-0000077,ACC-00296,6530.58,credit,2025-09-04T07:02:42Z,pending
TXN-0000078,ACC-00458,34127.91,debit,2024-02-05T16:26:17Z,completed
TXN-0000079,ACC-00321,39194.7,credit,2024-01-13T15:30:23Z,completed
TXN-0000080,ACC-00476,42882.72,credit,2024-12-20T14:06:53Z,completed
TXN-0000081,ACC-00491,21390.54,debit,2025-11-16T04:25:34Z,failed
TXN-0000082,ACC-00155,7949.71,credit,2024-03-13T11:59:00Z,failed
TXN-0000083,ACC-00185,12520.21,credit,2025-05-31T03:20:31Z,failed
TXN-0000084,ACC-00085,2590.31,credit,2025-07-17T21:24:14Z,failed
TXN-0000085,ACC-00387,11707.96,debit,2025-06-30T13:52:56Z,completed
TXN-0000086,ACC-00001,10671.85,debit,2024-04-13T01:42:12Z,failed
TXN-0000087,ACC-00116,25972.69,credit,2024-01-08T05:07:16Z,completed
TXN-0000088,ACC-00357,17179.36,debit,2025-10-30T05:54:19Z,pending
TXN-0000089,ACC-00356,6609.63,debit,2024-06-26T19:52:44Z,pending
TXN-0000090,ACC-00046,36538.44,debit,2024-03-21T03:48:57Z,pending
TXN-0000091,ACC-00189,44049.57,debit,2024-10-24T06:26:14Z,completed
TXN-0000092,ACC-00329,49647.01,debit,2024-02-23T03:17:05Z,failed
TXN-0000093,ACC-00289,424.73,debit,2024-12-07T20:02:52Z,pending
TXN-0000094,ACC-00370,10653.56,debit,2025-12-15T12:04:09Z,pending
TXN-0000095,ACC-00316,34328.62,debit,2024-03-08T07:58:55Z,completed
TXN-0000096,ACC-00072,37622.53,credit,2024-09-30T01:05:57Z,pending
TXN-0000097,ACC-00162,39554.04,debit,2024-08-03T03:03:04Z,failed
TXN-0000098,ACC-00044,12409.1,credit,2025-08-28T01:02:48Z,failed
TXN-0000099,ACC-00014,42394.76,credit,2024-06-08T13:47:08Z,failed
TXN-0000100,ACC-00311,25476.62,credit,2024-08-17T13:18:11Z,failed
TXN-0000101,ACC-00028,39190.3,debit,2025-01-19T09:22:32Z,pending
TXN-0000102,ACC-00058,12054.85,debit,2025-02-14T07:58:26Z,completed
TXN-0000103,ACC-00185,46696.29,debit,2024-10-27T11:11:15Z,failed
TXN-0000104,ACC-00216,18271.26,debit,2025-08-15T10:14:31Z,pending
TXN-0000105,ACC-00489,49368.33,debit,2024-01-13T23:06:46Z,failed
TXN-0000106,ACC-00035,690.66,debit,2024-01-31T22:25:35Z,completed
TXN-0000107,ACC-00486,39464.71,credit,2025-05-03T05:24:25Z,failed
TXN-0000108,ACC-00257,38355.73,credit,2025-06-29T02:41:54Z,pending
TXN-0000109,ACC-00043,32027.22,debit,2024-08-03T12:22:24Z,completed
TXN-0000110,ACC-00159,3952.0,debit,2025-09-19T15:19:54Z,completed
TXN-0000111,ACC-00275,16338.19,debit,2024-08-28T21:58:42Z,failed
TXN-0000112,ACC-00224,36498.19,debit,2024-02-14T23:26:42Z,completed
TXN-0000113,ACC-00045,46231.46,debit,2024-12-18T03:27:49Z,failed
TXN-0000114,ACC-00312,2752.38,debit,2024-04-02T18:34:44Z,completed
TXN-0000115,ACC-00363,6861.45,debit,2024-05-07T06:03:41Z,pending
TXN-0000116,ACC-00488,17335.91,credit,2024-05-09T16:24:54Z,pending
TXN-0000117,ACC-00065,37489.07,credit,2025-07-23T06:54:51Z,completed
TXN-0000118,ACC-00395,44994.97,credit,2025-09-18T21:34:50Z,pending
TXN-0000119,ACC-00140,26193.19,credit,2025-07-07T06:40:03Z,failed
TXN-0000120,ACC-00322,3854.42,credit,2025-01-31T17:39:51Z,pending
TXN-0000121,ACC-00029,24981.0,debit,2024-10-12T14:11:49Z,completed
TXN-0000122,ACC-00131,38666.67,debit,2024-06-26T09:46:01Z,failed
TXN-0000123,ACC-00261,129.42,debit,2024-07-08T22:46:10Z,completed
TXN-0000124,ACC-00242,18199.46,debit,2024-05-19T00:04:24Z,completed
TXN-0000125,ACC-00284,40155.97,credit,2024-06-23T09:16:07Z,pending
TXN-0000126,ACC-00128,20813.41,credit,2024-07-29T16:36:53Z,completed
TXN-0000127,ACC-00293,18641.04,debit,2024-05-19T07:13:15Z,completed
TXN-0000128,ACC-00412,25789.19,debit,2024-11-07T09:46:51Z,completed
TXN-0000129,ACC-00450,23255.24,credit,2025-08-23T19:35:50Z,pending
TXN-0000130,ACC-00168,4320.19,credit,2024-01-07T04:33:22Z,pending
TXN-0000131,ACC-00103,14580.46,credit,2025-07-28T10:41:44Z,failed
TXN-0000132,ACC-00125,23196.87,credit,2025-08-23T02:33:18Z,completed
TXN-0000133,ACC-00376,45022.26,debit,2024-04-26T22:45:38Z,completed
TXN-0000134,ACC-00478,20502.4,debit,2025-02-24T15:08:03Z,pending
TXN-0000135,ACC-00326,41978.86,debit,2024-09-17T05:10:35Z,completed
TXN-0000136,ACC-00389,32865.54,credit,2024-03-21T17:45:00Z,completed
TXN-0000137,ACC-00272,49155.8,credit,2025-01-17T04:04:58Z,completed
TXN-0000138,ACC-00498,49847.97,credit,2024-03-13T06:08:32Z,completed
TXN-0000139,ACC-00472,11574.4,credit,2025-06-28T08:43:59Z,pending
TXN-0000140,ACC-00235,48727.76,debit,2025-03-27T02:20:57Z,completed
TXN-0000141,ACC-00259,6676.56,credit,2024-02-28T02:56:28Z,failed
TXN-0000142,ACC-00291,3115.08,debit,2024-07-02T21:44:42Z,pending
TXN-0000143,ACC-00134,42545.83,credit,2025-06-28T06:28:19Z,failed
TXN-0000144,ACC-00168,15903.57,credit,2024-06-30T10:49:44Z,completed
TXN-0000145,ACC-00484,10136.43,debit,2024-04-30T17:03:45Z,completed
TXN-0000146,ACC-00085,22478.89,credit,2024-11-11T17:56:35Z,completed
TXN-0000147,ACC-00275,17915.01,debit,2024-12-17T00:20:41Z,pending
TXN-0000148,ACC-00238,13251.13,debit,2024-03-11T05:34:03Z,completed
TXN-0000149,ACC-00414,34303.06,debit,2024-06-16T00:16:40Z,pending
TXN-0000150,ACC-00076,4561.55,debit,2024-10-03T07:31:32Z,pending
TXN-0000151,ACC-00263,2448.48,credit,2024-07-21T01:51:37Z,completed
TXN-0000152,ACC-00016,47604.88,credit,2025-03-07T19:43:45Z,failed
TXN-0000153,ACC-00282,12493.38,credit,2024-03-20T03:41:26Z,completed
TXN-0000154,ACC-00063,598.83,debit,2024-04-11T12:42:31Z,completed
TXN-0000155,ACC-00422,20029.69,debit,2025-03-28T07:18:08Z,failed
TXN-0000156,ACC-00133,45871.51,debit,2024-01-17T22:23:05Z,completed
TXN-0000157,ACC-00102,45124.9,credit,2025-09-20T14:25:14Z,completed
TXN-0000158,ACC-00048,45253.99,credit,2024-04-05T04:04:52Z,completed
TXN-0000159,ACC-00483,23050.29,debit,2025-12-18T19:03:50Z,failed
TXN-0000160,ACC-00222,41084.45,credit,2025-01-20T08:27:58Z,completed
TXN-0000161,ACC-00196,34160.96,debit,2024-10-01T21:58:49Z,completed
TXN-0000162,ACC-00466,9358.37,credit,2024-12-12T10:15:20Z,completed
TXN-0000163,ACC-00018,30705.71,debit,2025-05-17T18:08:38Z,pending
TXN-0000164,ACC-00256,20600.2,credit,2024-02-17T08:43:56Z,completed
TXN-0000165,ACC-00144,19151.38,credit,2024-06-03T22:09:46Z,failed
TXN-0000166,ACC-00453,39860.1,debit,2025-05-04T22:06:50Z,failed
TXN-0000167,ACC-00407,977.48,credit,2025-08-30T07:57:58Z,failed
TXN-0000168,ACC-00184,23984.74,credit,2024-09-24T05:15:38Z,failed
TXN-0000169,ACC-00258,16080.9,credit,2024-05-19T16:00:39Z,completed
TXN-0000170,ACC-00164,29856.22,debit,2025-11-26T18:15:56Z,pending
TXN-0000171,ACC-00030,40432.89,credit,2025-02-15T05:19:59Z,pending
TXN-0000172,ACC-00393,29199.86,debit,2024-05-03T23:37:19Z,completed
TXN-0000173,ACC-00127,32843.56,credit,2025-02-18T12:41:40Z,failed
TXN-0000174,ACC-00029,38202.72,debit,2025-03-23T03:40:43Z,pending
TXN-0000175,ACC-00182,46760.37,debit,2024-05-16T18:44:55Z,completed
TXN-0000176,ACC-00304,15900.9,credit,2025-12-10T21:49:19Z,failed
TXN-0000177,ACC-00015,35172.94,credit,2025-03-16T21:47:18Z,failed
TXN-0000178,ACC-00073,28155.88,debit,2025-10-11T21:09:34Z,pending
TXN-0000179,ACC-00278,15453.34,credit,2024-01-30T11:41:43Z,completed
TXN-0000180,ACC-00029,11631.94,debit,2024-01-16T11:29:04Z,failed
TXN-0000181,ACC-00245,35.17,debit,2025-09-18T09:13:55Z,completed
TXN-0000182,ACC-00175,35847.16,credit,2024-02-16T06:12:13Z,completed
TXN-0000183,ACC-00076,29330.87,debit,2025-08-24T11:14:16Z,completed
TXN-0000184,ACC-00434,26315.22,credit,2024-02-26T08:05:13Z,pending
TXN-0000185,ACC-00361,47096.22,credit,2025-03-31T04:08:32Z,completed
TXN-0000186,ACC-00173,15088.96,debit,2024-05-02T08:05:06Z,failed
TXN-0000187,ACC-00486,21843.98,credit,2025-05-19T05:35:50Z,pending
TXN-0000188,ACC-00090,35359.44,credit,2024-06-22T09:26:35Z,failed
TXN-0000189,ACC-00302,40722.9,credit,2024-08-26T07:35:58Z,failed
TXN-0000190,ACC-00353,14726.57,debit,2025-07-20T02:23:37Z,completed
TXN-0000191,ACC-00486,35100.72,credit,2025-10-22T19:15:33Z,failed
TXN-0000192,ACC-00017,9104.91,credit,2025-12-16T09:23:48Z,failed
TXN-0000193,ACC-00114,31982.7,debit,2025-12-28T13:07:33Z,pending
TXN-0000194,ACC-00073,16559.09,debit,2024-07-03T20:33:56Z,pending
TXN-0000195,ACC-00164,8395.2,debit,2025-09-30T04:53:10Z,failed
TXN-0000196,ACC-00344,31955.5,credit,2024-12-12T21:47:07Z,completed
TXN-0000197,ACC-00136,10485.0,debit,2024-09-29T05:26:32Z,pending
TXN-0000198,ACC-00403,5402.62,debit,2024-02-07T09:32:01Z,pending
TXN-0000199,ACC-00225,36629.49,debit,2025-11-18T01:14:39Z,pending
TXN-0000200,ACC-00253,44088.65,credit,2025-02-28T02:37:28Z,pending
TXN-0000201,ACC-00052,41440.52,debit,2024-05-06T08:08:13Z,pending
TXN-0000202,ACC-00038,39959.93,debit,2024-08-17T01:29:42Z,completed
TXN-0000203,ACC-00164,13057.12,debit,2024-02-27T15:11:44Z,pending
TXN-0000204,ACC-00088,44396.68,debit,2025-07-22T13:11:27Z,completed
TXN-0000205,ACC-00281,47091.77,debit,2024-09-19T11:51:19Z,failed
TXN-0000206,ACC-00315,44661.42,debit,2024-12-01T00:26:58Z,failed
TXN-0000207,ACC-00085,30366.27,credit,2024-05-02T00:37:36Z,completed
TXN-0000208,ACC-00052,16555.4,debit,2024-11-13T21:31:46Z,failed
TXN-0000209,ACC-00284,36102.18,credit,2025-05-28T02:26:14Z,pending
TXN-0000210,ACC-00153,11878.18,debit,2024-11-01T04:13:41Z,failed
TXN-0000211,ACC-00282,41992.89,debit,2024-02-12T08:02:38Z,pending
TXN-0000212,ACC-00002,21380.87,credit,2025-10-01T22:33:32Z,failed
TXN-0000213,ACC-00321,30011.18,debit,2024-03-16T07:58:00Z,completed
TXN-0000214,ACC-00106,8542.44,credit,2024-03-04T15:23:58Z,pending
TXN-0000215,ACC-00433,5776.33,credit,2024-12-31T19:02:27Z,pending
TXN-0000216,ACC-00459,33052.34,debit,2025-05-13T13:15:23Z,failed
TXN-0000217,ACC-00199,9244.88,credit,2024-10-13T22:08:46Z,completed
TXN-0000218,ACC-00229,2231.8,credit,2024-12-27T05:18:31Z,pending
TXN-0000219,ACC-00116,41854.1,debit,2024-04-27T09:16:47Z,failed
TXN-0000220,ACC-00342,4836.03,credit,2025-09-19T17:34:12Z,failed
TXN-0000221,ACC-00212,48535.31,debit,2025-03-05T23:53:15Z,completed
TXN-0000222,ACC-00431,19355.92,credit,2025-02-19T22:42:43Z,failed
TXN-0000223,ACC-00444,46818.14,debit,2025-01-04T22:10:20Z,pending
TXN-0000224,ACC-00041,19740.82,debit,2025-01-24T23:50:59Z,failed
TXN-0000225,ACC-00462,25841.35,debit,2024-04-03T10:12:59Z,pending
TXN-0000226,ACC-00089,47453.13,debit,2024-06-13T13:55:07Z,completed
TXN-0000227,ACC-00065,2134.75,debit,2025-06-14T14:22:54Z,pending
TXN-0000228,ACC-00104,49863.46,debit,2025-10-09T20:54:08Z,failed
TXN-0000229,ACC-00133,15988.15,debit,2024-03-08T14:18:32Z,pending
TXN-0000230,ACC-00285,19868.35,credit,2025-10-27T08:37:55Z,pending
TXN-0000231,ACC-00267,22908.4,debit,2025-09-02T22:21:59Z,failed
TXN-0000232,ACC-00320,29379.22,credit,2024-03-28T09:30:11Z,pending
TXN-0000233,ACC-00077,7410.84,debit,2025-12-19T09:54:38Z,completed
TXN-0000234,ACC-00289,38977.46,credit,2025-11-04T18:54:39Z,failed
TXN-0000235,ACC-00451,17194.12,credit,2024-07-24T03:51:49Z,pending
TXN-0000236,ACC-00336,24279.75,credit,2024-01-30T02:24:38Z,completed
TXN-0000237,ACC-00142,20149.29,credit,2024-01-31T02:57:31Z,pending
TXN-0000238,ACC-00456,43948.0,debit,2024-02-08T06:51:01Z,failed
TXN-0000239,ACC-00244,46041.83,credit,2024-01-16T17:10:06Z,pending
TXN-0000240,ACC-00419,39682.81,credit,2024-08-05T18:02:25Z,pending
TXN-0000241,ACC-00440,34809.45,debit,2025-11-05T21:28:13Z,completed
TXN-0000242,ACC-00069,15024.72,credit,2025-08-24T04:58:54Z,pending
TXN-0000243,ACC-00138,36440.24,debit,2024-05-25T23:22:30Z,pending
TXN-0000244,ACC-00109,45671.73,credit,2025-07-29T12:12:43Z,pending
TXN-0000245,ACC-00389,25825.55,credit,2025-09-29T16:52:24Z,completed
TXN-0000246,ACC-00264,39574.73,debit,2024-08-29T15:45:17Z,failed
TXN-0000247,ACC-00260,20169.85,debit,2024-05-14T22:41:56Z,completed
TXN-0000248,ACC-00449,41646.66,debit,2024-07-12T18:50:08Z,completed
TXN-0000249,ACC-00234,2528.91,credit,2025-07-01T07:19:43Z,completed
TXN-0000250,ACC-00141,18418.23,credit,2025-01-27T08:14:17Z,pending
TXN-0000251,ACC-00326,46153.76,debit,2024-07-06T22:03:10Z,pending
TXN-0000252,ACC-00251,29702.59,debit,2025-11-07T02:56:15Z,pending
TXN-0000253,ACC-00301,27567.13,credit,2024-05-07T00:06:52Z,pending
TXN-0000254,ACC-00384,41543.68,debit,2024-08-09T10:04:42Z,completed
TXN-0000255,ACC-00198,2483.5,debit,2025-10-27T17:42:38Z,completed
TXN-0000256,ACC-00332,11256.38,debit,2024-07-28T00:04:53Z,failed
TXN-0000257,ACC-00210,25664.55,debit,2025-01-03T05:48:44Z,completed
TXN-0000258,ACC-00332,8660.86,debit,2024-06-22T19:22:32Z,pending
TXN-0000259,ACC-00312,40254.47,credit,2025-07-07T14:26:44Z,failed
TXN-0000260,ACC-00330,13769.65,credit,2025-10-23T10:43:00Z,pending
TXN-0000261,ACC-00236,12600.68,credit,2024-08-22T16:23:33Z,failed
TXN-0000262,ACC-00267,41215.72,credit,2025-03-29T23:37:49Z,completed
TXN-0000263,ACC-00004,25576.17,credit,2025-03-12T02:19:09Z,failed
TXN-0000264,ACC-00305,30452.9,credit,2025-06-15T14:23:08Z,completed
TXN-0000265,ACC-00247,3192.79,credit,2025-05-12T13:33:05Z,pending
TXN-0000266,ACC-00442,13844.97,credit,2024-05-26T07:17:11Z,completed
TXN-0000267,ACC-00265,38273.95,debit,2025-09-17T14:18:00Z,failed
TXN-0000268,ACC-00207,33026.86,debit,2025-07-14T05:41:36Z,completed
TXN-0000269,ACC-00336,24869.14,credit,2024-07-20T12:03:22Z,pending
TXN-0000270,ACC-00208,19414.36,debit,2025-03-28T20:20:58Z,failed
TXN-0000271,ACC-00293,40800.92,credit,2025-07-18T07:52:16Z,failed
TXN-0000272,ACC-00114,34316.22,credit,2025-12-05T02:52:43Z,failed
TXN-0000273,ACC-00184,25366.24,debit,2025-10-14T22:38:27Z,failed
TXN-0000274,ACC-00449,27912.84,credit,2024-03-16T19:27:10Z,pending
TXN-0000275,ACC-00066,37046.2,debit,2025-06-11T22:45:24Z,pending
TXN-0000276,ACC-00336,4465.9,credit,2024-06-22T11:08:03Z,failed
TXN-0000277,ACC-00447,15354.96,credit,2024-10-15T16:39:45Z,pending
TXN-0000278,ACC-00300,14703.26,debit,2024-12-31T11:26:14Z,completed
TXN-0000279,ACC-00444,31720.2,debit,2025-01-01T18:48:46Z,completed
TXN-0000280,ACC-00257,5991.68,credit,2025-02-15T12:54:20Z,pending
TXN-0000281,ACC-00212,2704.04,debit,2024-04-16T16:40:26Z,completed
TXN-0000282,ACC-00176,20460.18,credit,2024-04-21T05:53:30Z,pending
TXN-0000283,ACC-00442,35783.71,debit,2025-01-13T17:09:56Z,pending
TXN-0000284,ACC-00324,49332.03,credit,2025-05-07T19:55:05Z,completed
TXN-0000285,ACC-00003,22603.21,debit,2025-08-14T05:40:16Z,completed
TXN-0000286,ACC-00296,38224.42,credit,2025-09-01T21:23:31Z,completed
TXN-0000287,ACC-00067,30724.37,credit,2024-11-09T07:47:58Z,pending
TXN-0000288,ACC-00495,23870.54,debit,2024-01-30T07:15:03Z,failed
TXN-0000289,ACC-00103,36533.22,debit,2025-11-23T20:12:15Z,pending
TXN-0000290,ACC-00388,41661.6,debit,2024-01-14T21:58:50Z,failed
TXN-0000291,ACC-00003,31334.72,debit,2024-06-24T17:53:54Z,failed
TXN-0000292,ACC-00450,17218.14,debit,2024-03-20T18:37:12Z,pending
TXN-0000293,ACC-00258,29433.95,debit,2024-02-20T17:02:17Z,completed
TXN-0000294,ACC-00153,47423.22,credit,2025-07-19T07:46:12Z,failed
TXN-0000295,ACC-00306,26206.36,credit,2025-11-20T17:02:09Z,failed
TXN-0000296,ACC-00069,17137.3,credit,2024-10-06T00:55:18Z,completed
TXN-0000297,ACC-00085,47404.27,credit,2024-01-15T20:30:39Z,completed
TXN-0000298,ACC-00115,36358.71,debit,2024-06-13T00:52:16Z,failed
TXN-0000299,ACC-00012,29485.05,debit,2024-04-05T15:54:20Z,pending
TXN-0000300,ACC-00365,32527.37,debit,2024-10-18T10:05:37Z,failed
TXN-0000301,ACC-00131,38562.71,debit,2025-04-06T07:32:49Z,completed
TXN-0000302,ACC-00339,5406.56,debit,2024-02-07T11:09:59Z,failed
TXN-0000303,ACC-00060,20839.36,credit,2024-04-05T23:58:44Z,failed
TXN-0000304,ACC-00130,23720.34,debit,2024-06-08T14:42:10Z,failed
TXN-0000305,ACC-00352,31515.94,credit,2024-11-22T21:36:45Z,failed
TXN-0000306,ACC-00052,33124.49,credit,2025-04-28T17:47:31Z,failed
TXN-0000307,ACC-00359,6859.04,debit,2025-02-01T08:37:53Z,failed
TXN-0000308,ACC-00317,5887.61,debit,2025-09-01T12:59:16Z,completed
TXN-0000309,ACC-00255,9933.13,debit,2025-08-27T06:12:19Z,pending
TXN-0000310,ACC-00426,26157.78,debit,2024-10-05T00:08:47Z,failed
TXN-0000311,ACC-00210,14768.26,debit,2025-03-01T18:02:49Z,pending
TXN-0000312,ACC-00467,10385.49,credit,2024-09-13T18:53:53Z,completed
TXN-0000313,ACC-00002,638.46,debit,2025-12-05T09:28:09Z,completed
TXN-0000314,ACC-00428,28708.06,credit,2024-04-25T20:15:17Z,completed
TXN-0000315,ACC-00400,25585.76,debit,2025-12-03T18:18:36Z,pending
TXN-0000316,ACC-00330,11558.78,credit,2024-07-24T03:38:50Z,pending
TXN-0000317,ACC-00026,4991.35,debit,2025-11-09T23:09:32Z,completed
TXN-0000318,ACC-00437,14529.07,credit,2024-11-26T21:07:34Z,failed
TXN-0000319,ACC-00060,4750.83,debit,2024-01-08T12:18:18Z,completed
TXN-0000320,ACC-00340,32360.28,credit,2024-10-04T16:47:37Z,pending
TXN-0000321,ACC-00490,31090.73,debit,2024-10-16T10:10:49Z,pending
TXN-0000322,ACC-00094,5692.49,credit,2024-12-20T14:29:52Z,pending
TXN-0000323,ACC-00428,19286.39,credit,2025-09-13T07:11:59Z,pending
TXN-0000324,ACC-00333,44306.31,debit,2024-03-28T19:31:37Z,completed
TXN-0000325,ACC-00357,36320.83,debit,2024-03-21T13:21:08Z,pending
TXN-0000326,ACC-00467,29537.92,credit,2024-05-20T18:56:30Z,failed
TXN-0000327,ACC-00195,38958.44,debit,2025-10-31T23:34:40Z,failed
TXN-0000328,ACC-00451,41926.99,debit,2025-01-10T05:15:26Z,pending
TXN-0000329,ACC-00058,44379.81,credit,2024-02-05T16:59:10Z,completed
TXN-0000330,ACC-00134,32749.02,debit,2025-07-01T06:06:09Z,failed
TXN-0000331,ACC-00269,38376.67,debit,2025-06-04T06:48:13Z,pending
TXN-0000332,ACC-00266,26155.64,debit,2024-12-02T04:52:11Z,failed
TXN-0000333,ACC-00373,12429.6,credit,2025-05-30T12:27:47Z,failed
TXN-0000334,ACC-00329,19244.45,debit,2024-01-10T01:04:33Z,failed
TXN-0000335,ACC-00479,7847.21,credit,2025-10-23T16:01:45Z,pending
TXN-0000336,ACC-00446,8271.03,credit,2024-09-06T01:02:51Z,completed
TXN-0000337,ACC-00170,48507.28,debit,2025-01-28T17:50:51Z,completed
TXN-0000338,ACC-00282,32166.22,credit,2025-09-26T15:54:34Z,completed
TXN-0000339,ACC-00041,22955.27,credit,2024-03-09T08:48:32Z,pending
TXN-0000340,ACC-00229,15803.76,credit,2025-08-01T20:15:40Z,failed
